Source,"Ferreres, Osvaldo (2005), Dos Siglos de Economía Argentina (1810-2004): Historia Argentina en Cifras, Fundación Norte y Sur","Ferreres, Osvaldo (2005), Dos Siglos de Economía Argentina (1810-2004): Historia Argentina en Cifras, Fundación Norte y Sur","Ferreres, Osvaldo (2005), Dos Siglos de Economía Argentina (1810-2004): Historia Argentina en Cifras, Fundación Norte y Sur","Ferreres, Osvaldo (2005), Dos Siglos de Economía Argentina (1810-2004): Historia Argentina en Cifras, Fundación Norte y Sur",
Year,RGDP,GDEFL,CPI,RGDPPC,
1810,586.4651418,0.018776031,0.013502709,0.000948967,
1811,597.7812125,0.018776031,0.013502709,0.000953499,
1812,598.7396908,0.018776031,0.013502709,0.000941424,
1813,607.6790703,0.018951715,0.013629051,0.000941869,
1814,620.0691072,0.018951715,0.013629051,0.000947382,
1815,634.3414013,0.019114755,0.0137463,0.000955383,
1816,642.0820245,0.019114755,0.0137463,0.000953265,
1817,657.7946651,0.019127491,0.013755459,0.000962682,
1818,662.3450629,0.023958064,0.017229347,0.000955533,
1819,668.2347989,0.024287979,0.017466604,0.000950297,
1820,678.9356568,0.024785433,0.017824346,0.000951761,
1821,690.5614532,0.022685764,0.016314377,0.000954269,
1822,703.1245278,0.02248991,0.01617353,0.000957789,
1823,715.8628,0.021411121,0.015397723,0.00096125,
1824,728.8240522,0.02288259,0.016455924,0.000964713,
1825,738.8658771,0.023728095,0.017063965,0.000964073,
1826,745.1046007,0.02493515,0.017932015,0.000959143,
1827,742.6398713,0.02334452,0.016788119,0.000943118,
1828,760.1125378,0.022763433,0.016370232,0.00095233,
1829,795.5549882,0.025800938,0.018554642,0.000983335,
1830,802.0991585,0.034637803,0.024909639,0.000978095,
1831,818.4620863,0.029769939,0.021408934,0.00098463,
1832,825.6791989,0.03213015,0.023106271,0.000979959,
1833,835.2021347,0.03634183,0.026135083,0.000977934,
1834,853.2003932,0.032713413,0.023525721,0.000985578,
1835,872.41157,0.039209132,0.028197092,0.000994221,
1836,883.436254,0.036311073,0.026112965,0.00099325,
1837,896.2475283,0.039136063,0.028144545,0.000994106,
1838,892.1517371,0.072241282,0.051952032,0.00097626,
1839,895.9690247,0.100404773,0.072205695,0.000967256,
1840,964.2750284,0.124483387,0.089521735,0.001021596,
1841,1018.918249,0.074644399,0.053680224,0.001059371,
1842,1054.468341,0.082804198,0.059548311,0.001075901,
1843,1089.064233,0.082049935,0.059005886,0.001090491,
1844,1084.335696,0.083646656,0.060154161,0.001065523,
1845,1096.441913,0.099635092,0.071652182,0.00105734,
1846,1070.408384,0.105702076,0.07601523,0.001012998,
1847,1123.069785,0.110625276,0.079555729,0.001043028,
1848,1176.970998,0.103424786,0.074377526,0.001072717,
1849,1277.351649,0.092166562,0.066281218,0.00114251,
1850,1260.81612,0.090386632,0.065001188,0.001106704,
1851,1322.394238,0.086479083,0.06219109,0.001139123,
1852,1322.682499,0.067728178,0.048706451,0.001118138,
1853,1291.135402,0.070798988,0.050914812,0.001071129,
1854,1360.07081,0.066887743,0.048102055,0.00110729,
1855,1336.794157,0.075836479,0.054537504,0.001068057,
1856,1370.65587,0.108182393,0.07779894,0.001074703,
1857,1428.059348,0.131610148,0.094646917,0.001098845,
1858,1436.901164,0.123358742,0.088712951,0.001074549,
1859,1505.175195,0.127720182,0.091849464,0.001093945,
1860,1617.197013,0.115504805,0.083064823,0.0011423,
1861,1623.534713,0.125900237,0.090540657,0.00111452,
1862,1657.396269,0.137231258,0.098689316,0.001105762,
1863,1760.007972,0.149582072,0.107571355,0.001141192,
1864,1850.983595,0.163044458,0.117252777,0.001166422,
1865,2029.397347,0.138587789,0.09966486,0.00124288,
1866,2129.612333,0.117799621,0.084715131,0.001267569,
1867,2276.165875,0.100129678,0.072007861,0.001316692,
1868,2336.253081,0.100129678,0.072007861,0.001313436,
1869,2424.013465,0.100129678,0.072007861,0.001324443,
1870,2559.295338,0.100129678,0.072007861,0.001356351,
1871,2564.41215,0.100129678,0.072007861,0.001318236,
1872,2789.653681,0.100129678,0.072007861,0.001390942,
1873,2942.873043,0.100129678,0.072007861,0.001423259,
1874,2930.099613,0.100129678,0.072007861,0.001374512,
1875,3113.798752,0.100129678,0.072007861,0.001416805,
1876,3180.566367,0.109141349,0.078488569,0.001403711,
1877,3508.334656,0.11896407,0.08555254,0.001501854,
1878,3332.310945,0.129670837,0.093252269,0.001383649,
1879,3477.985741,0.124484003,0.089522178,0.001400753,
1880,3411.218126,0.119504643,0.085941291,0.001332591,
1881,3465.846174,0.114724457,0.082503639,0.001313259,
1882,4364.17408,0.110135479,0.079203494,0.001603971,
1883,4892.245213,0.105052303,0.075547948,0.00174404,
