Source,The Finnish Economy,The Finnish Economy,The Finnish Economy,The Finnish Economy,The Finnish Economy,,,,,,,,,,
Year,GDP,GDPPC,COLI,WPI,GDEFL,,,,,,,,,,
1860,7777,40.1,6.6,8,6.6,,,,,,,,,,
1861,7828,39.8,7.2,8.7,7.1,,,,,,,,,,
1862,7419,37.4,8.5,9.6,7.2,,,,,,,,,,
1863,7999,40.1,7.9,8.8,7,,,,,,,,,,
1864,8189,40.4,7.5,8.7,6.8,,,,,,,,,,
1865,8125,39.7,7.6,8.3,7.2,,,,,,,,,,
1866,8242,40.4,7.1,7.3,6.7,,,,,,,,,,
1867,7562,37.4,7.6,7.6,6.4,,,,,,,,,,
1868,8308,43.3,7.5,7.7,6.6,,,,,,,,,,
1869,8909,46.2,6.8,7.1,6.6,,,,,,,,,,
1870,9294,47.4,6.5,7,6.6,,,,,,,,,,
1871,9386,46.9,6.9,7.3,6.9,,,,,,,,,,
1872,9709,47.7,7.4,7.8,7.1,,,,,,,,,,
1873,10269,49.8,7.4,8,7.4,,,,,,,,,,
1874,10493,50.1,8,9.1,7.9,,,,,,,,,,
1875,10720,50.5,8,9.2,7.7,,,,,,,,,,
1876,11313,52.5,8,9.5,7.8,,,,,,,,,,
1877,11064,50.6,7.7,9.1,7.7,,,,,,,,,,
1878,10849,49,7,7.6,6.8,,,,,,,,,,
1879,10953,48.6,6.5,6.8,6.4,,,,,,,,,,
1880,11007,48.1,7.2,8,7.1,,,,,,,,,,
1881,10735,46.5,7.6,8.5,7.3,,,,,,,,,,
1882,11750,50.1,7.1,7.8,7.1,,,,,,,,,,
1883,12200,51.2,6.9,7.6,6.9,,,,,,,,,,
1884,12271,50.7,6.8,7.5,6.8,,,,,,,,,,
1885,12568,51.3,6.4,6.9,6.5,,,,,,,,,,
1886,13204,53.2,5.8,6.5,6.1,,,,,,,,,,
1887,13426,53.1,5.6,6.3,5.9,,,,,,,,,,
1888,13922,54.2,5.7,6.3,6,,,,,,,,,,
