Source,Grytten- O.H. (2004),Grytten- O.H. (2004),Grytten- O.H. (2004),Grytten- O.H. (2004),A Consumer Price Index for Norway,A Consumer Price Index for Norway,Contributions to a history of prices in Norway,Grytten- O.H. (2004),Grytten- O.H. (2004),Grytten- Ola H. (2007),Contributions to a history of prices in Norway,Contributions to a history of prices in Norway,Contributions to a history of prices in Norway,Contributions to a history of prices in Norway,Contributions to a history of prices in Norway,Contributions to a history of prices in Norway,Contributions to a history of prices in Norway,Contributions to a history of prices in Norway,Contributions to a history of prices in Norway,Contributions to a history of prices in Norway,A Consumer Price Index for Norway,A Consumer Price Index for Norway,A Consumer Price Index for Norway,A Consumer Price Index for Norway,A Consumer Price Index for Norway,A Consumer Price Index for Norway,A Consumer Price Index for Norway,A Consumer Price Index for Norway,A Consumer Price Index for Norway,A Consumer Price Index for Norway
Year,GDP,GDPPC,CONS,INV,CPI,WPI,PPI,GDEFL,CDEFL,WAGE,Pfish,Pmilk,Pmeat,Pcrop,Pveget,Pcolonial,Pbever,Pwood,Poil,Pclothing,Wfish,Wmilk,Wmeat,Wcrop,Wveget,Wcolonial,Wbever,Wwood,Woil,Wclothing
1777,,,,,0.0228,0.0283,1.06,,,87,1.01,,,1.09,1.14,,0.67,0.63,2.99,1.34,0.07,0.14,0.07,0.18,0.07,0.05,0.05,0.1155,0.0945,0.16
1778,,,,,0.0222,0.0275,1.02,,,86,0.9,,,1.17,1.52,,0.73,0.6,2.91,1.35,,,,,,,,,,
1779,,,,,0.0221,0.0274,1.11,,,90,0.93,,,1.32,1.14,,0.67,0.74,3.03,1.32,,,,,,,,,,
1780,,,,,0.0212,0.0263,1.1,,,91,1.14,,,1.3,1.03,,0.64,0.61,3.12,1.32,,,,,,,,,,
1781,,,,,0.023,0.0285,1.14,,,99,1.27,,,1.49,1.27,,0.69,0.55,3.55,1.42,,,,,,,,,,
1782,,,,,0.0253,0.0313,1.15,,,102,1.13,,,1.88,1.37,,0.72,0.48,3.56,1.43,,,,,,,,,,
1783,,,,,0.0271,0.0336,1.28,,,98,1.04,,,1.84,1.58,,0.74,0.78,2.98,1.46,,,,,,,,,,
1784,,,,,0.0275,0.0341,1.32,,,98,0.96,,,2.03,1.51,,0.67,0.85,2.97,1.42,,,,,,,,,,
1785,,,,,0.0262,0.0325,1.3,,,92,0.97,,,1.76,1.53,,0.63,0.88,3.23,1.34,,,,,,,,,,
1786,,,,,0.0271,0.0336,1.37,,,96,1.01,,,1.94,1.44,,0.61,0.97,2.78,1.31,,,,,,,,,,
1787,,,,,0.0275,0.0341,1.38,,,94,1.06,,,1.78,1.73,,0.63,1.03,2.66,1.45,,,,,,,,,,
1788,,,,,0.0263,0.0327,1.36,,,94,1.02,,,1.6,1.52,,0.62,1.12,2.79,1.57,,,,,,,,,,
1789,,,,,0.0284,0.0351,1.47,,,98,0.96,,,1.82,1.37,,0.62,1.22,2.71,1.68,,,,,,,,,,
1790,,,,,0.0298,0.0369,1.48,,,97,0.95,,,1.97,1.44,,0.7,1.16,2.65,1.9,,,,,,,,,,
1791,,,,,0.0271,0.0336,1.41,,,97,0.85,,,1.41,1.37,,0.61,1.16,2.5,1.93,,,,,,,,,,
1792,,,,,0.0263,0.0326,1.33,,,98,0.8,,,1.41,1.36,,0.6,1.01,2.52,1.87,,,,,,,,,,
1793,,,,,0.0289,0.0358,1.42,,,98,0.76,,,1.77,1.4,,0.67,1.11,2.47,1.85,,,,,,,,,,
1794,,,,,0.0299,0.0371,1.37,,,105,0.89,,,1.86,1.8,,0.68,0.95,2.48,1.83,,,,,,,,,,
1795,,,,,0.0328,0.0407,1.44,,,102,1.02,,,2.38,1.85,,0.75,0.8,2.95,1.93,,,,,,,,,,
1796,,,,,0.03,0.0372,1.4,,,106,0.98,,,2.07,1.41,,0.7,0.85,3.37,1.96,,,,,,,,,,
1797,,,,,0.0277,0.0343,1.48,,,110,1.1,,,1.56,1.28,,0.66,1.13,3.52,1.73,,,,,,,,,,
1798,,,,,0.0291,0.036,1.48,,,114,1.07,,,1.72,1.51,,0.73,1.02,3.52,1.84,,,,,,,,,,
1799,,,,,0.0337,0.0418,1.6,,,140,1.06,,,2.31,1.87,,0.77,0.9,3.69,1.94,,,,,,,,,,
1800,,,,,0.0419,0.0519,1.89,,,150,1.15,,,3.24,2.69,,0.78,0.94,3.86,2.33,,,,,,,,,,
1801,,,,,0.0479,0.0594,2.17,,,158,1.22,,,3.91,2.5,,0.85,1.28,5.05,2.41,,,,,,,,,,
1802,,,,,0.0411,0.0509,2.04,,,160,1.33,,,2.89,2.05,,0.78,1.22,5.02,2.36,,,,,,,,,,
1803,,,,,0.0433,0.0537,2.16,,,149,1.39,,,3.11,2.02,,0.83,1.32,5.22,2.44,,,,,,,,,,
1804,,,,,0.0408,0.0506,2.08,,,150,1.77,,,2.67,1.76,,0.95,1.13,4.98,2.89,,,,,,,,,,
1805,,,,,0.0471,0.0584,2.32,,,155,1.75,,,3.24,2.03,,1.12,1.37,4.79,3.11,,,,,,,,,,
1806,,,,,0.0524,0.0649,2.53,,,164,1.41,,,3.34,2.34,,1.34,1.77,4.71,3.57,,,,,,,,,,
1807,,,,,0.0547,0.0678,2.48,,,167,1.32,,,3.48,2.48,,1.75,1.59,4.57,3.33,,,,,,,,,,
1808,,,,,0.0795,0.0986,3.4,,,222,1.05,,,5.16,3.8,,2.58,2.49,4.32,,,,,,,,,,,
1809,,,,,0.125,0.155,5.58,,,275,1.32,,,8.25,6.61,,3.86,4.64,7.44,,,,,,,,,,,
1810,,,,,0.1382,0.1712,6.53,,,394,2.54,,,8.3,5.99,,5.31,5.34,11.99,5.68,,,,,,,,,,
1811,,,,,0.2432,0.3015,10.53,,,674,2.73,,,14.5,9.24,,8.11,8.4,14.6,24.1,,,,,,,,,,
1812,,,,,0.395,0.4895,16.49,,,1'249,3.73,,,28.8,18.91,,12.47,11.33,19.8,27.4,,,,,,,,,,
1813,,,,,1.0965,1.3589,55.11,,,440,6.24,,,82.2,56.6,,20.7,56.3,28.5,,,,,,,,,,,
1814,,,,,1.5645,1.9388,75.48,,,569,14.4,,,127.7,80.4,,30.1,70.2,52.6,,,,,,,,,,,
1815,,,,,1.4237,1.7643,75.33,,,588,24.8,58.4,,83.9,58.3,,40.9,75.3,82.5,97.9,,,,,,,,,,
1816,,,,,2.2117,2.741,111.75,,,566,33.4,78.7,,151.6,96,,70.1,107.3,114.3,125.5,,,,,,,,,,
1817,,,,,3.3293,4.1259,157,,,729,62.5,93.8,,279.5,173.8,,108.3,123.7,157,141.1,,,,,,,,,,
1818,,,,,2.2486,2.7867,106.97,,,573,69.3,,,170.7,120.3,,77.2,59.2,207.3,115.2,,,,,,,,,,
1819,,,,,2.1734,2.6934,112.06,,,490,77,,,156.4,98.5,,65.2,75,215.8,125.5,,,,,,,,,,
1820,,,,,1.9464,2.4121,98.37,,,444,73.7,,,124.1,90.8,,64.7,54.3,226.3,135.2,,,,,,,,,,
1821,,,,,1.8004,2.2312,88.62,,,437,66.1,,,104.7,80.1,,64.7,44.2,211.5,144.8,,,,,,,,,,
1822,,,,,2.0452,2.5346,103.19,,,471,77.5,66,,123.6,84.3,,66.2,61.2,209.6,163.5,,,,,,,,,,
1823,,,,,1.9437,2.4088,98.59,,,469,63,55,,115.9,88.3,,55.1,67.4,147.5,152.1,,,,,,,,,,
1824,,,,,1.569,1.9444,85.61,,,403,59.7,48.2,,81.3,64.1,,45.8,65,113.7,116.4,,,,,,,,,,
