,Est. Historicas Cuadro 16.19:,Est. Historicas Cuadro 16.19:,Est. Historicas Cuadro 16.19:,Est. Historicas Cuadro 16.19:,Est. Historicas Cuadro 17.3,Est. Historicas Cuadro 17.3,Est. Historicas Cuadro 17.3,Est. Historicas Cuadro 17.8
Year,CPI1,CPI2,CPI3,CPI4,GNP,GDP1,GDP2,GDPPC
1800,128.1,,,,,,,
1801,146.2,,,,,,,
1802,169.2,,,,,,,
1803,227,,,,,,,
1804,263.8,,,,,,,
1805,203.6,,,,,,,
1806,133.9,,,,,,,
1807,111.9,,,,,,,
1808,94.1,,,,,,,
1809,92.5,,,,,,,
1810,101.8,,,,,,,
1811,205.7,,,,,,,
1812,331.3,,,,,,,
1813,203.9,,,,,,,
1814,161,,,,,,,
1815,141.5,,,,,,,
1816,118.5,,,,,,,
1817,120.1,,,,,,,
1818,125.7,,,,,,,
1819,117.1,,,,,,,
1820,104,,,,,,,
1821,84.5,,,,,,,
1822,84.2,,,,,,,
1823,83.8,,,,,,,
1824,123.9,,,,,,,
1825,123.3,,,,,,,
1826,102.6,,,,,,,
1827,81.7,,,,,,,
1828,78.2,,,,,,,
1829,75.6,,,,,,,
1830,82.4,,,66.67,,,,
1831,96.7,,,66.89,,,,
1832,110,,,71.48,,,,
1833,107.2,,,64.64,,,,
1834,88.1,,,64.42,,,,
1835,97.1,,,73.58,,,,
1836,107.7,,,75.15,,,,
1837,124.6,,,78.17,,,,
1838,126.3,,,79.42,,,,
1839,111,,,78.23,,,,
1840,107.5,,,75.2,,,,
1841,95,,,73.38,,,,
1842,101.4,,,71.75,,,,
1843,91.5,,,72.32,,,,
1844,88.4,,,73.6,,,,
1845,79.5,,,73.68,,,,
1846,99.6,,,69.1,,,,
1847,121.5,,,80.57,,,,
1848,86.8,,,69.26,,,,
1849,84.9,,,64.29,,,,
1850,85,84.13,79.27,68.43,24.1,16.9,16.5,800
1851,88.9,86.25,79.44,67.95,25.5,17.2,16.8,808
1852,84.8,87.78,76.29,66.55,26.7,18,17.6,840
1853,91.2,95.89,91.87,71.05,27,18.1,17.6,842
