Source,"Rodney Edvinsson (2014), ‘The Gross Domestic Product of Sweden within present borders, 1620–2012’","Rodney Edvinsson (2014), ‘The Gross Domestic Product of Sweden within present borders, 1620–2012’","Rodney Edvinsson and Johan Söderberg (2010), ‘The evolution of Swedish consumer prices 1290–2008’, ",
Year,GDPPC,GDP,CPI,
1700,13203.9947,262.980811,1.946777193,
1701,13124.93301,233.4437453,1.727227399,
1702,12653.51093,250.2837897,1.902253109,
1703,12579.05933,248.8264512,1.882294036,
1704,13021.45547,224.4046999,1.625896725,
1705,12552.77501,237.8500266,1.777892736,
1706,12182.74745,227.7668612,1.751792411,
1707,11976.74724,265.1898135,2.064996312,
1708,11658.81451,272.5520587,2.16325636,
1709,10687.02054,351.4230189,3.049132101,
1710,11792.54373,244.8708735,1.98823065,
1711,12983.15998,237.2654706,1.825487446,
1712,13020.7952,249.5966666,1.93142406,
1713,13296.94902,248.4886974,1.857729025,
1714,12461.57445,297.309993,2.339817383,
1715,12755.84219,286.4664806,2.174003553,
1716,12635.52646,347.253667,2.791045945,
1717,12084.09178,499.4969525,4.906062763,
1718,12153.02562,494.6934871,5.842634548,
1719,11583.89758,606.1078275,9.982606709,
1720,12676.19568,411.0611576,6.171617643,
1721,12995.25762,416.5403311,6.038111657,
1722,12748.60709,339.9200322,4.963995312,
1723,12156.64487,318.8154252,4.830489325,
1724,12157.16754,314.0229116,4.703051793,
1725,12484.06536,323.6870942,4.672709523,
1726,11727.38574,334.0336469,5.079295936,
1727,12039.4652,350.2012189,5.139980476,
1728,12685.87804,332.5975873,4.60595653,
1729,13104.27658,324.455024,4.326807649,
1730,13115.97072,322.8940859,4.272191564,
1731,13189.4557,310.7301557,4.053727223,
1732,13317.12229,318.7647221,4.084069492,
1733,13050.66352,339.2637439,4.401052929,
1734,12935.64826,326.7018527,4.242337666,
1735,12747.69465,337.5761782,4.414464193,
1736,12571.7753,349.0340394,4.604150393,
1737,13005.79396,325.2190795,4.147516754,
1738,13340.95868,320.5043077,3.984694875,
1739,12395.55095,329.4470815,4.388609194,
1740,11814.24835,368.8655817,5.14949951,
1741,11753.28794,406.5173924,5.71557563,
1742,12358.17156,395.6912814,5.311831554,
1743,12589.84415,385.7140112,5.136142304,
1744,12970.11423,379.3568262,4.912448822,
1745,12263.40529,401.2875952,5.431889529,
1746,11799.79331,407.4186859,5.668708261,
1747,12232.65325,451.0700199,6.007033468,
1748,12120.85606,483.6489174,6.453105596,
1749,12758.31052,478.1783643,6.021682833,
1750,13662.06517,493.760449,5.764171118,
1751,12950.96772,498.099613,6.070102133,
1752,12657.72122,491.5037682,6.06742016,
1753,13102.55619,501.5975551,5.923360268,
1754,12913.27564,523.3162214,6.201932888,
1755,12410.76572,542.8220965,6.626916661,
1756,11738.82355,575.4778886,7.363823479,
1757,11430.09295,607.7930253,7.949413483,
1758,12487.55958,666.2003946,7.967002085,
1759,13372.97011,674.8519466,7.510627589,
1760,13611.85905,721.565096,7.8241391,
1761,13290.05004,825.2235096,9.078546005,
1762,12065.38985,1050.309948,12.6486702,
1763,11971.61351,1132.199131,13.70647712,
1764,12146.77709,1219.482657,14.48783379,
1765,12594.82056,1192.237635,13.57507099,
1766,13102.05419,1107.973839,12.04797277,
1767,12897.08291,894.5081575,9.800212546,
1768,12214.01803,749.3327846,8.607650664,
1769,12737.5803,776.0394892,8.50413198,
1770,12978.79583,886.436347,9.481820541,
1771,11727.70203,989.9778639,11.66118603,
1772,11618.14871,1026.921782,12.24144074,
1773,12626.51364,1009.817938,11.28014875,
1774,13601.15243,948.974138,9.919350812,
1775,12680.64276,1047.912581,11.62110702,
1776,12851.00297,1071.906523,11.61098157,
1777,13187.50725,62.94479454,11.85366676,
1778,12942.76683,65.52923411,12.47628143,
1779,13226.32787,66.55345056,12.30288827,
1780,12722.62838,65.19347231,12.39486862,
1781,11726.63232,63.89784975,13.0459346,
1782,12148.64174,66.79533052,13.09379422,
1783,11768.83627,67.74570664,13.67454936,
1784,12483.007,65.37469652,12.42873541,
1785,12306.447,68.99632879,13.28624636,
1786,12111.99461,69.80738534,13.60066046,
1787,13096.78553,71.68668863,12.83143678,
1788,12838.01897,74.84786275,13.57554405,
1789,12755.26293,76.59623672,13.94902562,
1790,13411.98987,80.19955112,13.90602693,
1791,13395.8361,79.25956861,13.71782387,
1792,12968.31345,82.60772415,14.63016133,
1793,13020.97908,88.46154416,15.43416045,
1794,12845.93801,101.1682804,17.71943703,
1795,13216.9237,110.1937584,18.63383458,
1796,13647.21885,113.7304908,18.5122333,
