Source,HSSO Q1a,HSSO Q1a,HSSO Q1a,HSSO Q1a,HSSO Q1a,HSSO Q1a,HSSO Q1a,HSSO K11b,Kaufmann 2019,Kaufmann 2019,"HSSO, H.4","HSSO, H.4","HSSO, H.1","HSSO, H.1",Adapted from Norway,Adapted from Norway,Adapted from Norway,Adapted from Norway,HSSO K9,HSSO K9,HSSO K9,HSSO K9,HSSO K9,HSSO K9,HSSO K9,HSSO K9,HSSO K9,HSSO K9,HSSO K9,HSSO K11b,HSSO K11b,HSSO K11b,HSSO K11b,HSSO K11b
Year,NGDP,GDP1,GDP2,GDPPC1,GDPPC2,CPIH,GDEFL,MANUF,CPI,WPI,Pmeat,Pveget,Pheating,Ptextiles,Wmeat,Wveget,Wheating,Wtextiles,IndCotton1,IndCotton2,IndCotton3,IndCotton4,IndSilk1,IndSilk2,IndSilk3,IndLinen1,IndWool1,IndLeather1,IndCloth1,OreInputTons,IronTons1,IronTons2,IronTons3,NonMetalTons
1800,,,,,,,,,100,,,,,,0.315,0.315,0.21,0.16,,,,,,,,,,,,,,,,
1801,,,,,,,,,80.06012024,,,,,,,,,,,,,,,,,,,,,,,,,
1802,,,,,,,,,82.76553106,,,,,,,,,,,,,,,,,,,,,,,,,
1803,,,,,,,,,80.96192385,,,,,,,,,,,,,,,,,,,,,,,,,
1804,,,,,,,,,73.64729459,100,,,,,,,,,,,,,,,,,,,,,,,,
1805,,,,,,,,,79.15831663,99.33333333,,,,,,,,,,,,,,,,,,,,,,,,
1806,,,,,,,,,80.96192385,101.6466667,46.609,125.189,,,,,,,,,,,,,,,,,,,,,,
1807,,,,,,,,,72.74549098,97.03333333,42.439,99.509,,,,,,,,,,,,,,,,,,,,,,
1808,,,,,,,,,65.43086172,104.1333333,42.149,81.219,,,,,,,,,,,,,,,,,,,,,,
1809,,,,,,,,,63.62725451,90.54666667,41.679,75.519,,,,,,,,,,,,,,,,,,,,,,
1810,,,,,,,,,68.23647295,94.15333333,42.329,82.179,,,,,,,,,,,,,,,,,,,,,,
1811,,,,,,,,,68.23647295,84.17333333,40.769,106.059,,,,,,,,,,,,,,,,,,,,,,
1812,,,,,,,,,81.86372745,104.0666667,39.829,131.159,,,,,,,,,,,,,,,,,,,,,,
1813,,,,,,,,,76.35270541,97.83333333,41.109,119.309,41.699,273.929,,,,,,,,,,,,,,,,,,,,
1814,,,,,,,,,72.74549098,90.37333333,45.159,96.809,42.169,265.589,,,,,,,,,,,,,,,,,,,,
1815,,,,,,,,,80.06012024,87.90666667,43.699,101.779,42.209,246.189,,,,,,,,,,,,,,,,,,,,
1816,,,,,,,,,99.09819639,101.9933333,42.939,178.629,42.859,205.949,,,,,,,,,,,,,,,,,,,,
1817,,,,,,,,,132.7655311,118.5533333,47.079,239.529,42.359,199.339,,,,,,,,,,,,,,,,,,,,
1818,,,,,,,,,85.47094188,89.56666667,44.179,114.929,43.579,234.819,,,,,,,,,,,,,,,,,,,,
1819,,,,,,,,,64.52905812,71.33333333,40.309,75.019,44.149,201.269,,,,,,,,,,,,,,,,,,,,
1820,,,,,,,,,59.11823647,68.57333333,39.379,71.029,44.469,194.349,,,,,,,,,,,,,,,,,,,,
1821,,,,,,,,,61.82364729,69.89333333,36.939,73.929,44.699,197.519,,,,,,,,,,,,,,,,,,,,
1822,,,,,,,,,59.11823647,67.07333333,36.469,67.859,44.839,193.139,,,,,,,,,,,,,,,,,,,,
1823,,,,,,,,,53.60721443,62.13333333,36.039,66.609,44.839,169.389,,,,,,,,,,,,,,,,,,,,
1824,,,,,,,,,56.41282565,62.54666667,36.009,71.919,45.909,164.329,,,,,,,,,,,,,,,,,,,,
1825,,,,,,,,,57.31462926,65.24,36.149,69.849,48.479,184.339,,,,,,,,,,,,,,,,,,,,
1826,,,,,,,,,55.51102204,58.87333333,36.009,62.359,47.709,158.589,,,,,,,,,,,,,,,,,,,,
1827,,,,,,,,,53.60721443,57.82666667,35.409,68.109,48.369,144.329,,,,,,,,,,,,,,,,,,,,
1828,,,,,,,,,59.11823647,62.70666667,36.169,85.849,47.969,147.629,,,,,,,,,,,,,,,,,,,,
1829,,,,,,,,,58.21643287,61.41333333,36.969,85.419,50.269,137.599,,,,,,,,,,,,,,,,,,,,
1830,,,,,,,,,61.82364729,60.35333333,37.049,86.629,50.25,131.349,,,,,,,,,,,,,,,,,,,,
1831,,,,,,,,,69.13827655,63.89333333,37.769,103.089,49.979,127.069,,,,,,,,,,,,,,,,,,,,
1832,,,,,,,,,76.35270541,69.64666667,40.169,120.179,52.319,133.679,,,,,,,,,,,,,,,,,,,,
1833,,,,,,,,,60.92184369,62.40666667,41.959,81.519,52.079,149.009,,,,,,,,,,,,,,,,,,,,
1834,,,,,,,,,58.21643287,62.74,39.269,75.979,54.759,161.219,,,,,,,,,,,,,,,,,,,,
1835,,,,,,,,,54.60921844,62.66666667,40.279,73.649,58.219,166.179,,,,,,,,,,,,,,,,,,,,
1836,,,,,,,,,56.41282565,68.5,39.879,78.259,64.129,189.089,,,,,,,,,,,,,,,,,,,,
1837,,,,,,,,,57.31462926,61.06666667,44.529,76.649,62.019,145.5,,,,,,,,,,,,,,,,,,,,
1838,,,,,,,,,63.62725451,64.21333333,43.5,85.169,61.389,151.669,,,,,,,,,,,,,,,,,,,,
1839,,,,,,,,,62.7254509,68.12666667,45.319,99.939,61.579,148.819,,,,,,,,,,,,,,,,,,,,
1840,,,,,,,,,61.82364729,65.03333333,43.629,93.919,59.009,140.509,,,,,,,,,,,,,,,,,,,,
1841,,,,,,,,,63.62725451,60.44666667,43.959,81.5,57.379,133.329,,,,,,,,,,,,,,,,,,,,
1842,,,,,,,,,63.62725451,63.18666667,43.619,94.589,57.219,129.729,,,,,,,,,,,,,,,,,,,,
1843,,,,,,,,,66.33266533,63.82,46.709,105.329,54.289,116.989,,,,,,,,,,,,,,,,,,,,
1844,,,,,,,,,70.04008016,64.12,47.159,101.889,54.849,126.649,,,,,,,,,,,,,,,,,,,,
1845,,,,,,,,,69.13827655,65.55333333,46,105.609,57.799,131.409,,,,,,,,,,,,,,,,,,,,
1846,,,,,,,,,80.96192385,74.98,48.25,140.389,58.019,134.659,,,,,,,,,,,,,,,,,,,,
1847,,,,,,,,,89.07815631,77.72,48.659,160.519,54.759,122.509,,,,,,,,,,,,,,,,,,,,
1848,,,,,,,,,63.62725451,54.09333333,47.009,84.479,54.489,100.369,,,,,,,,,,,,,,,,,,,,
1849,,,,,,,,,57.31462926,52.82666667,37.409,73.169,52.299,117.349,,,,,,,,,,,,,,,,,,,,
1850,,,,,,,,1.4,57.31462926,59.49333333,41.829,80.429,53.25,143.849,,,,,,,,,,,,,,,,20.5,8.6,,,
1851,608.8653844,843.745043,922.5233097,351.6656575,384.4997597,72.16224729,66,1.3,62.7254509,61.27333333,42.719,91.859,53.679,133.329,,,,,37,74.25,25.6529,26.97,35,42,11,57,35,51,57,22.4,9.4,4.6,2.6,0.17
1852,713.1048387,876.1323911,1002.960392,364.1714739,416.8885524,81.39236102,71.1,2,69.13827655,64.15333333,44.659,99.359,53.699,137.469,,,,,51,76.76,27.2499,26.36,42,45,13,60,40,58,59,24.8,10.4,5.1,2.7,0.17
1853,754.3527515,792.5338886,1020.775036,328.5297497,423.1427474,95.18239691,73.9,1.7,76.35270541,72.18,48.849,121.979,52.25,148.989,,,,,43,76.76,33.4658,19.91,48,59,16,38,35,56,52,26.7,11.2,5.6,2.9,0.34
1854,772.4566035,668.8378713,943.170456,275.5725054,388.6021661,115.4923542,81.9,2.2,98.19639279,79.02666667,52.309,153.649,55.959,131.809,,,,,53,71.72,30.3064,20.38,44,53,14,37,33,48,48,29.3,12.3,6.1,3.9,0.26
1855,851.2948625,807.6138615,1076.226122,330.7447307,440.7503831,105.4086492,79.1,3.2,87.2745491,74.68,52.079,138.969,55.089,128.909,,,,,52,84.3,35.7646,26.8,51,65,23,47,34,48,53,29.3,12.3,6.6,3.9,0.17
1856,824.8550235,807.0886995,1075.430278,328.5491577,437.785478,102.2012852,76.7,5.1,80.06012024,74.66666667,52.539,127.189,62.319,143.929,,,,,62,93.12,35.7647,38.91,49,72,20,53,39,52,63,27,11.3,6.6,4.3,0.17
1857,901.434929,865.3960859,1178.346312,350.1866076,476.8233927,104.1644333,76.5,5.6,79.15831663,76.30666667,57.579,123.529,71.039,149.309,,,,,51,94.37,37.8974,42.57,40,50,18,60,38,59,72,30.8,12.9,6.1,4.2,0.26
1858,946.4722006,1188.583058,1387.78915,478.43272,558.6178715,79.63029543,68.2,4,68.23647295,65.43333333,55.239,86.739,74.229,134.679,,,,,59,75.5,36.2118,23.6,36,60,20,75,39,65,78,34.6,14.5,7.1,5.7,0.34
1859,971.1928328,1084.997423,1364.034878,434.4490199,546.1797447,89.51107273,71.2,3.7,73.64729459,70.45333333,59.479,95.879,76.159,145.269,,,,,59,83.05,39.282,20.86,47,61,17,64,36,65,73,29.1,12.2,7.6,6.3,0.43
1860,978.1805434,900.4897785,1230.415778,358.6902731,490.1090295,108.6276121,79.5,6.6,84.56913828,76.57333333,60.789,118.349,77.129,148.639,,,,,76,93.12,40.841,24.03,56,58,23,72,38,69,70,21.5,9,6.2,5.3,0.43
